Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/detect,1833,0,1200,1172.5069234909965,149.62586399997235,1949.552959000357,739.6743044189852,31.04363286452375,0.0,1200,1300,1300,1400,1500,1500,1600,1700,1900,1900,1900
,Aggregated,1833,0,1200,1172.5069234909965,149.62586399997235,1949.552959000357,739.6743044189852,31.04363286452375,0.0,1200,1300,1300,1400,1500,1500,1600,1700,1900,1900,1900
