Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782531337,50,,Aggregated,32.000000,0.000000,1100,1200,1300,1300,1400,1500,1600,1700,1900,1900,1900,841,0,1100,1086.2335450439978,149.62586399997235,1949.552959000357,739.6706302021403
1782531338,50,,Aggregated,32.000000,0.000000,1100,1200,1300,1300,1400,1500,1600,1700,1900,1900,1900,873,0,1100,1091.3557142016032,149.62586399997235,1949.552959000357,739.6277205040092
1782531339,50,,Aggregated,32.000000,0.000000,1100,1200,1300,1300,1400,1500,1600,1700,1900,1900,1900,889,0,1100,1096.8503351833479,149.62586399997235,1949.552959000357,739.6164229471316
1782531340,50,,Aggregated,33.600000,0.000000,1100,1200,1300,1400,1400,1500,1600,1700,1900,1900,1900,921,0,1100,1109.3676733344175,149.62586399997235,1949.552959000357,739.5950054288817
1782531341,50,,Aggregated,33.600000,0.000000,1200,1300,1300,1400,1400,1500,1600,1700,1900,1900,1900,953,0,1200,1116.0245168258095,149.62586399997235,1949.552959000357,739.591815320042
1782531342,50,,Aggregated,33.600000,0.000000,1200,1200,1300,1400,1400,1500,1600,1700,1900,1900,1900,985,0,1200,1116.2317799928903,149.62586399997235,1949.552959000357,739.605076142132
1782531343,50,,Aggregated,33.600000,0.000000,1200,1300,1300,1400,1400,1500,1600,1700,1900,1900,1900,1017,0,1200,1120.9326541681357,149.62586399997235,1949.552959000357,739.6017699115044
1782531344,50,,Aggregated,33.600000,0.000000,1200,1300,1300,1400,1400,1500,1600,1700,1900,1900,1900,1049,0,1200,1127.4485240819752,149.62586399997235,1949.552959000357,739.6139180171592
1782531345,50,,Aggregated,32.000000,0.000000,1200,1300,1300,1400,1400,1500,1600,1700,1900,1900,1900,1097,0,1200,1130.4361664147657,149.62586399997235,1949.552959000357,739.6016408386508
1782531346,50,,Aggregated,32.000000,0.000000,1200,1300,1300,1400,1400,1500,1600,1700,1900,1900,1900,1113,0,1200,1131.2866439928096,149.62586399997235,1949.552959000357,739.607367475292
